Brand_Name,Shoe Descripition,Discounted Price,Actual_price
Lee Cooper,Men Casual Shoes,1622,2999
Bata,Men Comfort Insole Sneakers,669,999
Hygear,Men Colourblocked Sneakers,875,2999
WROGN,Men Textured Lace-Ups Sneakers,1799,3999
Red Tape,Men Colourblocked Sneakers,2099,6999
Hygear,Men Colourblocked Sneakers,1249,2999
Roadster,Men Lightweight Sneakers,821,3695
FUNNY FIRE,Men Printed Trekking Shoes,831,1999
House of Pataudi,Men Embroidered Mojaris,1794,3399
Red Tape,Men Slip Resistant Sneakers,2009,6699
JQR,Men Sneakers,1149,2499
Red Tape,Men Colourblocked Sneakers,2039,6799
WROGN,Men Colourblocked Sneakers,1469,3499
